indice,tiempo_s,velocidad_mps,velocidad_sin_media
364,36.39999999999999,0.967,0.028962686567164164
365,36.50099999999999,0.979,0.040962686567164175
366,36.599000000000004,0.902,-0.03603731343283578
367,36.69899999999997,0.871,-0.06703731343283581
368,36.801,0.95,0.011962686567164149
369,36.899000000000015,1.042,0.10396268656716423
370,36.99899999999998,1.087,0.14896268656716416
371,37.099000000000004,1.065,0.12696268656716414
372,37.19899999999997,0.96,0.021962686567164158
373,37.30399999999999,0.898,-0.040037313432835786
374,37.39999999999999,0.82,-0.11803731343283586
375,37.50199999999997,0.871,-0.06703731343283581
376,37.59999999999998,1.014,0.0759626865671642
377,37.7,0.962,0.02396268656716416
378,37.79999999999997,0.916,-0.02203731343283577
379,37.89999999999999,0.881,-0.0570373134328358
380,38.000000000000014,0.819,-0.11903731343283586
381,38.104999999999976,0.839,-0.09903731343283584
382,38.20099999999998,0.895,-0.04303731343283579
383,38.30399999999999,0.948,0.009962686567164147
384,38.40099999999997,0.94,0.0019626865671641402
385,38.503,0.933,-0.005037313432835755
386,38.59999999999998,0.87,-0.06803731343283581
387,38.7,0.885,-0.0530373134328358
388,38.801,0.907,-0.031037313432835778
389,38.89999999999999,0.956,0.017962686567164154
390,39.000000000000014,0.936,-0.0020373134328357523
391,39.10100000000001,0.985,0.04696268656716418
392,39.20099999999998,0.963,0.02496268656716416
393,39.30399999999999,0.907,-0.031037313432835778
394,39.399000000000015,0.868,-0.07003731343283581
395,39.503,0.92,-0.018037313432835766
396,39.60100000000001,0.921,-0.017037313432835766
397,39.70099999999998,0.987,0.04896268656716418
398,39.80199999999998,0.986,0.04796268656716418
399,39.90099999999997,0.926,-0.012037313432835761
400,40.000000000000014,0.92,-0.018037313432835766
401,40.09999999999998,0.861,-0.07703731343283582
402,40.20099999999998,0.913,-0.025037313432835773
403,40.30399999999999,0.956,0.017962686567164154
404,40.399000000000015,1.011,0.07296268656716409
405,40.50199999999997,1.027,0.0889626865671641
406,40.59999999999998,0.968,0.029962686567164165
407,40.7,0.931,-0.007037313432835757
408,40.801,0.964,0.02596268656716416
409,40.90099999999997,0.983,0.04496268656716418
410,41.000000000000014,1.061,0.12296268656716414
411,41.10100000000001,1.106,0.1679626865671643
412,41.20099999999998,1.079,0.14096268656716415
413,41.30399999999999,0.98,0.041962686567164176
414,41.39999999999999,0.881,-0.0570373134328358
415,41.50199999999997,0.909,-0.029037313432835776
416,41.60100000000001,0.951,0.01296268656716415
417,41.7,1.03,0.09196268656716422
418,41.80199999999998,1.009,0.07096268656716409
419,41.90099999999997,0.987,0.04896268656716418
420,42.000000000000014,0.915,-0.02303731343283577
421,42.09999999999998,0.869,-0.06903731343283581
422,42.20099999999998,0.913,-0.025037313432835773
423,42.30399999999999,0.988,0.04996268656716418
424,42.39999999999999,1.063,0.12496268656716414
425,42.50199999999997,1.066,0.12796268656716425
426,42.602999999999966,1.023,0.0849626865671641
427,42.7,0.952,0.013962686567164151
428,42.801,0.894,-0.04403731343283579
429,42.90099999999997,0.914,-0.024037313432835772
430,43.000000000000014,1.012,0.0739626865671642
431,43.10100000000001,1.025,0.0869626865671641
432,43.2,1.067,0.12896268656716414
433,43.30399999999999,1.033,0.09496268656716411
434,43.39999999999999,0.944,0.005962686567164144
435,43.503,0.949,0.010962686567164148
436,43.60100000000001,0.995,0.05696268656716419
437,43.70099999999998,1.053,0.11496268656716413
438,43.801,1.111,0.17296268656716418
439,43.89999999999999,1.06,0.12196268656716425
440,44.000000000000014,1.002,0.0639626865671642
441,44.102999999999966,0.96,0.021962686567164158
442,44.2,0.964,0.02596268656716416
443,44.30399999999999,1.014,0.0759626865671642
444,44.39999999999999,1.032,0.09396268656716422
445,44.503,1.065,0.12696268656716414
446,44.59999999999998,1.045,0.10696268656716412
447,44.7,1.007,0.06896268656716409
448,44.801,0.971,0.03296268656716417
449,44.90099999999997,1.011,0.07296268656716409
450,45.000000000000014,1.079,0.14096268656716415
451,45.09999999999998,1.15,0.2119626865671641
452,45.2,1.107,0.16896268656716418
453,45.30399999999999,1.089,0.15096268656716416
454,45.39999999999999,1.0,0.061962686567164194
455,45.50199999999997,0.968,0.029962686567164165
456,45.602999999999966,0.978,0.039962686567164174
457,45.70099999999998,1.015,0.0769626865671641
458,45.801,1.036,0.09796268656716423
459,45.90099999999997,1.007,0.06896268656716409
460,46.000000000000014,0.989,0.050962686567164184
461,46.10100000000001,0.954,0.015962686567164153
462,46.20099999999998,0.968,0.029962686567164165
463,46.304999999999964,0.982,0.04396268656716418
464,46.39999999999999,0.986,0.04796268656716418
465,46.503,1.039,0.10096268656716412
466,46.60100000000001,0.985,0.04696268656716418
467,46.70099999999998,0.946,0.007962686567164146
468,46.801,0.872,-0.06603731343283581
469,46.89999999999999,0.892,-0.04603731343283579
470,47.00099999999999,0.949,0.010962686567164148
471,47.09999999999998,1.03,0.09196268656716422
472,47.20099999999998,1.046,0.10796268656716423
473,47.30399999999999,1.063,0.12496268656716414
474,47.39999999999999,1.031,0.09296268656716411
475,47.50099999999999,1.019,0.0809626865671641
476,47.59999999999998,1.035,0.09696268656716411
477,47.69899999999997,1.062,0.12396268656716425
478,47.79999999999997,1.108,0.1699626865671643
479,47.89999999999999,1.118,0.1799626865671643
480,47.99899999999998,1.059,0.12096268656716413
481,48.10100000000001,0.985,0.04696268656716418
482,48.2,0.913,-0.025037313432835773
483,48.30399999999999,0.943,0.004962686567164143
484,48.399000000000015,0.955,0.016962686567164154
485,48.50099999999999,1.003,0.06496268656716409
486,48.599000000000004,1.044,0.10596268656716423
487,48.69899999999997,1.046,0.10796268656716423
488,48.801,0.936,-0.0020373134328357523
489,48.899000000000015,0.949,0.010962686567164148
490,48.99899999999998,0.958,0.019962686567164156
491,49.09999999999998,1.009,0.07096268656716409
492,49.2,1.084,0.14596268656716427
493,49.30399999999999,1.112,0.1739626865671643
494,49.39999999999999,1.088,0.14996268656716427
495,49.50199999999997,0.972,0.03396268656716417
496,49.599000000000004,0.921,-0.017037313432835766
497,49.7,0.943,0.004962686567164143
498,49.801,1.029,0.09096268656716411
499,49.89999999999999,1.12,0.1819626865671643
500,50.000000000000014,1.128,0.18996268656716409
501,50.102999999999966,1.065,0.12696268656716414
502,50.2,1.02,0.08196268656716421
503,50.30399999999999,1.014,0.0759626865671642
504,50.39999999999999,1.029,0.09096268656716411
505,50.50199999999997,1.12,0.1819626865671643
506,50.59999999999998,1.175,0.23696268656716424
507,50.7,1.116,0.1779626865671643
508,50.801,1.02,0.08196268656716421
509,50.90099999999997,0.904,-0.03403731343283578
510,51.000000000000014,0.878,-0.060037313432835804
511,51.10100000000001,1.024,0.08596268656716421
512,51.19899999999997,1.03,0.09196268656716422
513,51.30399999999999,1.048,0.10996268656716424
514,51.39999999999999,0.981,0.04296268656716418
515,51.503,0.963,0.02496268656716416
516,51.602999999999966,0.931,-0.007037313432835757
517,51.7,0.944,0.005962686567164144
518,51.801,1.01,0.0719626865671642
519,51.90099999999997,1.023,0.0849626865671641
520,52.000000000000014,1.065,0.12696268656716414
521,52.10100000000001,1.023,0.0849626865671641
522,52.20099999999998,0.991,0.052962686567164186
523,52.304999999999964,0.96,0.021962686567164158
524,52.40099999999997,0.991,0.052962686567164186
525,52.503,1.039,0.10096268656716412
526,52.60100000000001,1.084,0.14596268656716427
527,52.70099999999998,1.072,0.13396268656716426
528,52.80199999999998,0.984,0.04596268656716418
529,52.902,0.916,-0.02203731343283577
530,53.00099999999999,0.898,-0.040037313432835786
531,53.102999999999966,0.971,0.03296268656716417
532,53.20099999999998,1.085,0.14696268656716416
533,53.304999999999964,1.164,0.22596268656716412
534,53.40099999999997,1.109,0.17096268656716418
535,53.503,1.047,0.10896268656716412
536,53.60100000000001,0.966,0.027962686567164163
537,53.70099999999998,0.961,0.02296268656716416
538,53.80199999999998,1.013,0.0749626865671641
539,53.90099999999997,1.08,0.14196268656716426
540,54.000000000000014,1.07,0.13196268656716426
541,54.09999999999998,1.069,0.13096268656716414
542,54.20099999999998,1.023,0.0849626865671641
